City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,pierre,44.3683,-100.351,280.66,61,40,9.77,US,1702329713
376,mizan teferi,6.9833,35.5833,290.87,81,3,1.25,ET,1702329713
377,bom jesus,-9.0744,-44.3586,304.12,42,94,3.32,BR,1702329713
378,lenzkirch,47.8683,8.2021,281.02,90,100,0.45,DE,1702329713
379,solwezi,-12.1688,26.3894,290.33,96,98,0.86,ZM,1702329713
380,anshan,41.1236,122.99,259.84,58,12,4.26,CN,1702329714
381,rabo de peixe,37.8,-25.5833,286.88,82,40,2.57,PT,1702329714
382,pisco,-13.7,-76.2167,296.18,73,0,8.75,PE,1702329714
383,samana,19.2056,-69.3369,303.13,84,20,3.09,DO,1702329714
384,port macquarie,-31.4333,152.9167,296.98,77,7,1.29,AU,1702329714
385,mbandaka,0.0487,18.2603,296.21,94,100,0.9,CD,1702329714
386,dryden,49.7833,-92.7503,266.31,93,100,6.69,CA,1702329714
387,antofagasta,-23.65,-70.4,293.75,67,100,3.96,CL,1702329715
388,pingliang,35.5392,106.6861,271.93,59,0,1.46,CN,1702329715
389,morehead city,34.7229,-76.726,283.15,66,0,3.6,US,1702329529
390,kruisfontein,-34.0033,24.7314,289.75,89,1,2.66,ZA,1702329715
391,grand falls-windsor,48.9332,-55.6649,286.76,87,100,3.58,CA,1702329715
392,timimoun,29.2639,0.231,287.36,33,0,2.06,DZ,1702329715
393,kyren,51.6828,102.1408,248.68,91,34,0.45,RU,1702329715
394,arteche,12.2645,125.4048,298.6,90,85,2.6,PH,1702329715
395,puerto lempira,15.2667,-83.7667,300.01,85,31,4.33,HN,1702329716
396,ust'-kut,56.7938,105.7672,238.82,100,76,0.52,RU,1702329716
397,biltine,14.5333,20.9167,293.56,21,23,4.09,TD,1702329716
398,trincomalee,8.5711,81.2335,299.94,80,99,7.09,LK,1702329716
399,wajir,1.7471,40.0573,301.91,52,100,4.19,KE,1702329716
400,potsdam,52.3989,13.0657,282.09,96,99,2.68,DE,1702329716
401,alaghsas,17.0187,8.0168,292.48,34,0,9.57,NE,1702329717
402,inhambane,-23.865,35.3833,298.87,92,100,2.25,MZ,1702329717
403,palmer,42.1584,-72.3287,278.38,63,20,7.2,US,1702329717
404,siavonga,-16.5382,28.7088,300.32,71,98,1.27,ZM,1702329717
405,taitung city,22.7583,121.1444,297.21,78,59,1.3,TW,1702329717
406,lobujya,27.95,86.8167,256.87,64,41,0.95,NP,1702329717
407,lerwick,60.1545,-1.1494,278.15,72,100,3.83,GB,1702329441
408,banfora,10.6333,-4.7667,299.04,13,0,1.58,BF,1702329717
409,lycksele,64.5954,18.6735,266.08,93,100,0.0,SE,1702329718
410,inda silase,14.1031,38.2829,290.32,43,100,1.83,ET,1702329718
411,la passe,45.5549,-0.8967,287.28,95,100,5.2,FR,1702329718
412,farsan,32.2569,50.561,271.17,26,45,1.12,IR,1702329718
413,fort mcmurray,56.7268,-111.381,263.92,62,0,3.6,CA,1702329718
414,bayanhongor,46.7167,100.1167,254.48,97,98,1.36,MN,1702329718
415,kargasok,59.0556,80.8572,244.24,93,86,3.13,RU,1702329719
416,kalabo,-14.97,22.6814,295.97,75,92,1.8,ZM,1702329719
417,quepos,9.4236,-84.1652,302.5,73,100,1.9,CR,1702329719
418,salekhard,66.53,66.6019,244.21,98,100,4.1,RU,1702329719
